key	ru	en
player_0_0	Я {playerName}…	I am {playerName}…
player_0_1	В-вроде.	I-I think so.
player_0_2	А как вас зовут?	What is your name?
player_1_0	Да не за что.	You're welcome.
player_1_1	Хорошо, уже иду!	Okay, I'm on my way!
player_2_0	Не стоит благодарностей, хех.	No need to thank me, heh.
player_2_1	Мне было не сложно совсем.	It wasn't difficult for me at all.
player_2_2	Я не помню…	I don't remember…
player_2_3	Думаю, что нет…	I don't think so...
player_2_4	О, иду!	Oh, here I come!
player_3_0	Что?!	What?!
player_3_1	Нет, я не могу принять его…	No, I can't accept it...
player_3_2	Мы же только пару минут назад с вами познакомились.	We just met each other a couple of minutes ago.
player_3_3	Спасибо большое, мне правда негде было бы переночевать.	Thank you very much, I really would have nowhere to spend the night.
player_4_0	Кхм, я… я не знаю, если честно.	Um, I… I don’t know, to be honest.
player_4_1	Проснувшись тут недавно и встретив Тертилуса, он попросил меня о помощи.	Having woken up here recently and met Tertilus, he asked me for help.
player_4_2	Затем в благодарность он показал мне место для ночлега.	Then, in gratitude, he showed me a place to stay for the night.
player_4_3	Ты знакома с ним?	Do you know him?
player_4_4	А…	A…
player_4_5	Так вот почему он смог приютить меня.	So that's why he was able to take me in.
player_4_6	Оу, это звучит очень… грустно.	Oh, that sounds very... sad.
player_4_7	Может быть я всё же как-то смогу помочь.	Maybe I can still help somehow.
player_4_8	Обнять	Hug
player_4_9	А меня {playerName}, будем знакомы.	And I'm {playerName}, let's get acquainted.
player_4_10	Хех.	Heh.
player_4_11	Сейчас попробую.	I'll try now.
player_5_0	А что за кристаллы?	What kind of crystals are these?
player_5_1	Ага.	Yeah.
player_5_2	Я попробую.	I will try.
player_5_3	Думаю неспроста я тут…	I think it’s not for nothing that I’m here…
player_5_4	Спасибо!	Thank you!
player_6_0	Ты права.	You are right.
player_7_0	Хорошо, давай.	Okay, let's go.
player_7_1	Хех.	Heh.
player_8_0	Здравствуйте, хм, не встречал.	Hello, hmm, I haven't met him.
player_8_1	Я думаю, я смогу помочь вам найти его.	I think I can help you find him.
player_9_0	Не стоит благодарностей.	No need to thank me.
player_9_1	Обнять	Hug
player_9_2	Подождите, могу я вас попросить об одолжении?	Wait, can I ask you a favor?
player_9_3	Нам с Финикс нужна помощь для того, чтобы обогреть призму.	FInix and I need help heating the prism.
player_9_4	Не могли бы вы попытаться вместе согреть её?	Could you try to warm her up together?
player_9_5	Спасибо!	Thank you!
player_10_0	Ну, да…	Well, yes…
player_10_1	Я {playerName}.	I am {playerName}.
player_10_2	Почему?	Why?
player_10_3	Ну ладно…	OK…
player_10_4	Стой, куда?!	Wait, where to?!
player_10_5	М-да…	Hmm...
player_11_0	Я их уже 3 раза до этого видел…	I've seen them 3 times before...
player_11_1	Эй, ты куда?	Hey, where are you going?
player_11_2	Окей, окей, я разрушу сейчас кристалл, только отойди подальше.	Okay, okay, I'll destroy the crystal now, just move away.
player_11_3	Я не хочу, чтобы ты замерз досмерти!	I don't want you to freeze to death!
player_12_0	Вот и всё, тут нет ничего сверхъестественного.	That's all, there's nothing supernatural here.
player_12_1	Обычное тепло.	Normal warmth.
player_12_2	На самом деле не бывает бесполезных существ.	In fact, there are no useless creatures.
player_12_3	Мы все несём какую-то функцию, Скайпер.	We all have a function, Skyper.
player_12_4	Да, я умею согревать лучше, чем остальные, но и ты можешь это делать!	Yes, I can warm you up better than others, but you can do it too!
player_12_5	Например через…	For example, through…
player_12_6	… объятия.	… hugs.
player_12_7	А ещё, ты можешь помочь сейчас другим согреть призму внизу!	And you can also help others warm the prism below now!
player_12_8	Я уверен, все оценят твой поступок и будут благодарны.	I'm sure everyone will appreciate your actions and be grateful.
player_12_9	Я тоже!	Me too!
player_13_0	Здраствуйте, мадам.	Hello, madam.
player_13_1	Я в порядке, а вот вы выглядите…	I'm fine, but you look...
player_13_2	… потерянной.	… lost.
player_13_3	С вашими детьми всё будет хорошо, не переживайте.	Your children will be fine, don't worry.
player_13_4	Обнять	Hug
player_13_5	{playerName}, мадам.	{playerName}, madam.
player_13_6	Не стоит, вы чего!	It's not worth it, what are you saying!
player_13_7	Оставьте себе, я думаю, вам тяжело воспитывать их в одиночку.	Keep them for yourself, I think it’s hard for you to raise them alone.
player_14_0	Не вините себя, вы не виноваты.	Don't blame yourself, it's not your fault.
player_14_1	Вы не знали, что будет такой сильный мороз, вы старались ради них внизу.	You didn't know it would be so cold, you were trying for them down there.
player_14_2	Хех, да не преувеличивайте.	Heh, don't exaggerate.
player_14_3	Я бы хотел вас попросить об одном одолжении.	I would like to ask you for one favor.
player_14_4	Вы моежет спуститься с детьми на более безопасный нижний уровень?	Can you take the children down to a safer lower level?
player_14_5	И когда вы спуститесь, можете помочь Финикс?	And when you get down, can you help Phoenix?
player_14_6	Она сейчас пытается разогреть призму, чтобы стало теплее, но ей нужна ваша помощь.	She is now trying to heat up the prism to make it warmer, but she needs your help.
player_14_7	Да что вы, не стоит!	Oh, come on, it's not worth it!
player_14_8	До свидания вам.	Goodbye to you.
player_15_0	Хм, свет все ещё не достаёт до дна.	Hmm, the light still doesn't reach the bottom.
player_15_1	Неужели придется плыть наверх…	Do I really have to swim up there?
player_15_2	Там же везде будет лёд…	There will be ice everywhere there...
player_15_3	Но если я это не сделаю, то все погибнут.	But if I don't do this, everyone will die.
player_15_4	Хоть я и знаю их всего ничего, но они тоже живые, у них есть свои родные…	Even though I know them only for a little while, they are also alive, they have their own relatives...
player_15_5	Плыть наверх	Swim to the top
player_16_0	Он слишком большой!	He's too big!
player_16_1	Думай, думай!	Think, think!
player_16_2	Хм, может попробовать растопить те небольшие для начала...	Hmm, maybe try melting those small ones first...
player_17_0	Тут слишком холодно!	It's too cold here!
player_17_1	Проклятая метель.	Damn blizzard.
player_17_2	Но я должен это сделать, это последний осколок!	But I have to do it, this is the last fragment!
player_17_3	Я должен это сделать ради них!!!	I have to do this for them!!!
player_100_0	Вы сегодня хотели проведать отшельника.	You wanted to visit the hermit today.
player_100_1	Именно поэтому староста Рифа это вы?	Is that why you are the headman of the Reef?
player_100_2	Так может тогда я схожу сам проверю Октобосса?	So maybe I should go check out Octoboss myself then?
player_100_3	Хорошо, я попробую связаться с ним.	Okay, I'll try to contact him.
player_100_4	Как я понимаю мне надо идти на северо-запад к тому закрытому проходу?	As I understand it, I need to go northwest to that closed passage?
player_100_5	А что вы делали на поверхности?	What were you doing on the surface?
player_100_6	Хм-м-м, возможно мои тепловые способности помогут с этим.	Hmmm, maybe my thermal abilities will help with that.
player_100_7	Вы очень мудрый, Тертилус.	You are very wise, Tertilus.
player_100_8	Но я попробую!	But I'll try!
player_100_9	Не зря же я плаваю с этими способностями, хех.	It's not for nothing that I swim with these abilities, heh.
player_100_10	А можно купить у вас что-нибудь?	Can I buy something from you?
player_101_0	Здравствуйте, Тертилус!	Hello, Tertilus!
player_101_1	Не хотите зайти, согреться?	Would you like to come in and warm up?
player_101_2	Ох, возвращайтесь домой скорее!	Oh, come home soon!
player_101_3	Завтра продолжите поиски.	Continue your search tomorrow.
player_102_0	Хм, ну его определнно тут нету.	Hmm, well he's definitely not here.
player_102_1	Но зато есть каледарь.	But at least there is a calendar.
player_102_2	Сегодня-я-я… а, вот!	Today-e-e... ah, here it is!
player_102_3	У него корпоратив…	He has a corporate party...
player_102_4	Ладно, пойду вернусь к Тертилусу.	Okay, I'll go back to Tertilus.
player_103_0	А я с новостями вернулся!	And I'm back with news!
player_103_1	Октобосса там не было, но зато был календарь на столе.	Octoboss wasn't there, but there was a calendar on the table.
player_103_2	На нём было написано, что у босса сегодня корпоратив…	It said that the boss had a corporate party today...
player_103_3	Не за что!	My pleasure!
player_104_0	Здравствуйте!	Hello!
player_104_1	Абсолютная случайность, хах.	Total coincidence, haha.
player_104_2	Не хотите зайти на чай?	Would you like to come in for tea?
player_104_3	Ой и правда, думаю мне пора идти!	Oh really, I think I should go!
player_105_0	Я собрал ракушки, у меня получилось!	I collected the shells, I succeeded!
player_105_1	А что с ней случилось?	What happened to her?
player_105_2	Ох…	Oh…
player_105_3	Вам наверное очень грустно до сих пор.	You are probably still very sad.
player_105_4	Хорошо!	Fine!
player_106_0	Откуда ты узнала про то место?	How did you find out about that place?
player_106_1	Хотелось бы мне тоже такого детства.	I wish I had such a childhood too.
player_106_2	И то верно…	That's true...
player_106_3	Вижу, как тут всё преобразилось в лучшую сторону.	I see how everything here has changed for the better.
player_106_4	Но всё равно, я вам благодарен.	But still, I am grateful to you.
player_106_5	Вы тоже много всего хорошего для меня делаете.	You also do a lot of good things for me.
player_106_6	Ты, получается, любишь рыбок?	So, you like fish?
player_106_7	Ой, я не ожидал, что меня спросят, хах.	Oh, I didn't expect to be asked, hah.
player_106_8	Нравятся.	I like them.
player_106_9	Не нравятся.	I don't like them.
player_106_10	Ну, они слишком быстрые порой.	Well, they are too fast sometimes.
player_106_11	Иногда не слушаются.	Sometimes they don't listen.
player_106_12	Могу ли я прикупить у тебя вещей?	Can I buy things from you?
player_107_0	Привет, Финикс!	Hello, Phoenix!
player_107_1	Давай попробуем вместе растопить его.	Hi, Finix!
player_107_2	Может в следующий раз попытаемся его растопить?	Maybe next time we should try to melt it?
player_108_0	Действительно уютное место!	A really cozy place!
player_108_1	Неожиданно.	Suddenly.
player_108_2	Гонок…?	Racing…?
player_108_3	И ты хочешь посоревноваться, я так понимаю?	And you want to compete, I understand?
player_109_0	Да ну тебя!	Oh, come on!
player_109_1	Меня просто течением снесло.	I was simply carried away by the current.
player_109_2	Угу.	Yes.
player_109_3	Ха-ха, победа!	Ha-ha, victory!
player_109_4	Ничего, в следующий раз повезёт.	Never mind, better luck next time.
player_109_5	Ох… после таких активностей холодно очень.	Oh... after such activities it's very cold.
player_109_6	Хм, неплохая идея.	Hmm, not a bad idea.
player_109_7	Пойдём.	Let's go.
player_110_0	Ого-го, это же Финикс, не ожидал, не ожидал.	Wow, this is Finix, I didn't expect it, I didn't expect it.
player_110_1	Ну а если шутки в сторону, то чем занимаешься?	Well, jokes aside, what do you do?
player_110_2	А для чего?	And for what purpose?
player_110_3	Увлекательное хобби у тебя.	You have an interesting hobby.
player_110_4	Может мне присоединиться?	Maybe I should join?
player_110_5	Тем более я могу призывать их теплом.	Moreover, I can call upon them with warmth.
player_110_6	Тогда встретимся у дома, когда соберём всё?	Then let's meet at the house when we collect everything?
player_110_7	Да, без проблем.	Yes, no problem.
player_110_8	Удачи тебе!	Good luck!
player_111_0	Пришёл с уловом, хе-хе.	Came back with a catch, heh-heh.
player_111_1	Приятно слышать!	Nice to hear!
player_112_0	Ну что, тебе понравилось приключение?	So, did you enjoy the adventure?
player_112_1	Всё бывывает, не переживай.	Anything can happen, don't worry.
player_112_2	Хорошо, я посмотрю!	Okay, I'll take a look!
player_112_3	А почему ты спросил откуда я?	Why did you ask where I am from?
player_112_4	Хм.	Hm.
player_112_5	Тогда добро пожаловать в клуб пришельцев, ха-ха!	Then welcome to the alien club, haha!
player_112_6	Какое?	Which?
player_112_7	А почему “нова”?	Why “new”?
player_112_8	Хах, ну хорошо, пусть будет “нова”.	Hah, well, okay, let it be “nova”.
player_112_9	Можно мне прикупить вещичек?	Can I buy some things?
player_113_0	Да, это я, действительно.	Yes, it is me, indeed.
player_113_1	А ты что делаешь тут?	What are you doing here?
player_113_2	Ну… окей?	Well... okay?
player_113_3	А что в нём страшного?	What's scary about it?
player_113_4	Ну ладненько, давай.	Okay then, let's go.
player_113_5	Хм, может в следующий раз?	Hmm, maybe next time?
player_114_0	Воу, жутковато тут.	Wow, it's creepy here.
player_114_1	Не очень пока что.	Not really yet.
player_114_2	Тут нет призраков даже.	There are no ghosts here, even.
player_114_3	Я думал хоть что-то интересное будет, а тут… вообще ничего!	I thought there would be at least something interesting, but here... nothing at all!
player_115_0	Ну вроде собрал все.	Well, I think I've collected everything.
player_115_1	Давай лучше я тебе нормальный дом покажу.	Let me show you a normal house.
player_115_2	Это мой! Ха-ха.	This is mine! Ha-ha.
player_116_0	Ого, ты какой-то грустный сегодня.	Wow, you look kind of sad today.
player_116_1	Всё хорошо, Скайпер?	Everything okay, Skyper?
player_116_2	Ох… наверное я могу понять тебя.	Oh... I guess I can understand you.
player_116_3	Я вообще чувствовал себя чужаком, когда впервые попал сюда.	I actually felt like an outsider when I first came here.
player_116_4	Это давило.	It was oppressive.
player_116_5	Но сейчас мне стало легче принимать себя частью этого мира.	But now it has become easier for me to accept myself as a part of this world.
player_116_6	Думаю, сейчас мне незачем грустить…	I think there is no reason for me to be sad now...
player_116_7	Хм, возможно их просто так воспитали.	Hmm, maybe they were just raised that way.
player_116_8	На кого?	On whom?
player_116_9	Иду-у-у-у!	I'm com-ing!
player_116_10	У меня дела ещё есть сегодня, к сожалению.	Unfortunately, I still have things to do today.
player_117_0	Интересно, как он так быстро растаял?	I wonder how it melted so quickly?
player_117_1	Вот и я без понятия…	Well, I have no idea either...
player_117_2	Давай попытаемся!	Let's try!
player_118_0	Угу.	Yes.
player_118_1	Ну-у я видел сон.	Well, I had a dream.
player_118_2	Я был раньше осколком звезды, упавшей сюда.	I used to be a fragment of a star that fell here.
player_118_3	Хорошо, давай зайдём ко мне.	Okay, let's come to my place.
player_119_0	Можно спросить подробнее про родителей?	
player_119_1	Какими они были?	
player_119_2	Хорошие родители…	
player_119_3	А во мне до сих пор храняться воспоминания звезды.	
player_119_4	Я думаю вам незнакомо это чувство.	
player_119_5	Когда вы часть чего-то большего, но не связаны в единое целое.	
player_119_6	Мудрые мысли, Джелика.	
player_119_7	Я нашёл их всех!	
player_119_8	Не стоит благодарностей, хех.	
player_119_9	У вас можно купить декор для дома?	
player_120_0	Здравствуйте, Джелика!	
player_120_1	Ох, это печально…	
player_120_2	Может я смогу помочь вам сейчас?	
player_120_3	Давайте в следующий раз я помогу вам его растопить.	
player_120_4	До свидания!	
player_121_0	А почему вы приходите сюда?	
player_121_1	Думаю вы правильно поступаете.	
player_121_2	Мне очень жаль, что вы остались одни…	
player_121_3	Я могу вам ещё чем-то помочь?	
player_121_4	Не хотите зайти на чай?	
player_121_5	Угу, я теперь всех приглашаю погостить.	
player_122_0	Мадам Джелика!	
player_122_1	У вас что-то случилось?	
player_122_2	Давайте я вам помогу их найти!	
player_122_3	Угу, скоро увидимся.	
player_122_4	Ох, я тороплюсь, но если найду по дороге, то сообщу.	